hour,day_of_week,inventory_level,bartender_load,target_multiplier
13,1,0.008761471335456128,0.8216655112480008,1.1604124762354606
22,1,0.3802441925392782,0.8063338035340044,1.113696725533273
17,5,0.27406621193755176,0.2953430746100173,0.9968124364420495
23,0,0.300506631152786,0.8723107806710769,1.1164515025892696
9,3,0.8600132645108731,0.7676157569541632,0.9997802829021043
21,1,0.7938406839675933,0.7158924125925099,0.9958603166102867
3,4,0.09696312386938422,0.35190454621864364,1.0915386301940373
23,6,0.7313911887062581,0.8583363091872314,1.105097451746976
5,1,0.3634637564989328,0.2973789443490874,0.9879015785542328
19,6,0.5306522255135007,0.9587253662912797,1.0695956829351558
22,5,0.926114044662796,0.29718397112182027,1.1531717069053962
6,6,0.40403589938392703,0.3124000745083069,1.010459261755664
2,5,0.023159582761861697,0.7205008552217979,1.2
0,2,0.6023202457584792,0.8285647104465157,1.0904445674857421
10,5,0.35564596517152725,0.7472275102502075,0.9858017882032133
2,1,0.9413357139679938,0.2297427969442178,1.0336158633251855
12,1,0.2525798655902515,0.19234778382525197,1.0161968357187974
22,1,0.8436453793343609,0.8061625131840725,1.1164331349114838
12,6,0.7309496406196764,0.5683229928482442,1.018680629946667
7,2,0.2960026095720799,0.29833440896144725,1.0030888550693835
21,3,0.18805562933120057,0.8478981443328755,1.16303609383052
15,0,0.024773762932064014,0.9132036046277496,1.1327603047974608
20,5,0.23273453700001967,0.9395006412857971,1.0628077756801109
22,1,0.16590943620146226,0.6916533460536726,1.1490451596407074
15,3,0.8200044948231174,0.13153880390203862,0.9847925899985526
20,6,0.8731028044810348,0.2624352572432605,0.9988097733576659
3,0,0.8414419822036787,0.42751718429143504,1.0132103170759263
16,1,0.3923004186502723,0.45500617227519735,0.9850470508439375
18,5,0.30490597228081495,0.9963298185686855,1.0473875396070844
17,5,0.6030591219790475,0.4185466064370481,1.0167726279968765
13,5,0.43796595865302856,0.7563606449661987,0.9890155369145374
7,3,0.8666648594824062,0.17538362072263036,0.9880928675605415
19,4,0.6594710341711433,0.6303985585444539,0.996406744644546
23,5,0.37931392746102854,0.3956973975850573,1.147180558922911
9,0,0.811720529546455,0.884180731639623,1.0475441583443177
23,4,0.2514066103763577,0.3737881699094564,1.1426747942660296
17,3,0.17564058461452248,0.640000907935554,1.0883180776005814
14,6,0.7624819886458961,0.10662024276086951,0.984047257104176
23,2,0.40948293651574874,0.8121630976134951,1.0890415899717647
21,0,0.42548160924435086,0.43214912415228224,0.9952539454171184
18,0,0.6765360171928039,0.9354266820206895,1.0585363986829879
22,4,0.6036441031839201,0.6888143933256825,1.1538806114677178
8,0,0.11781291702891716,0.506622167492025,1.0947593366691053
